,Düz,Otomatik,YarıOtomatik,Dizel,Benzin/Lpg,Benzin,1300ccvealtı,1601-1800cc,1301-1600cc,6001ccveüzeri,ArabaYıl,Fiyat,Km
112,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2019,1.0,84.5
113,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,89.0,84.5
114,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2019,9.0,84.5
115,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,110.0,84.75
116,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2016,140.0,84.75
117,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2018,7.0,84.95
118,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2017,19.5,85.0
119,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2017,12.5,85.0
120,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2016,31.0,85.0
121,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2018,9.0,85.0
122,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2018,5.0,85.0
123,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2018,63.5,85.45
124,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,104.0,85.5
125,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2019,15.35,85.5
126,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2018,58.0,85.75
127,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2016,82.0,85.75
128,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2019,10.9,85.9
129,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2016,99.0,85.9
130,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,64.0,86.0
131,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2019,20.74,86.5
132,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,48.0,86.5
133,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2019,0.0,86.7
134,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2016,142.2,86.75
135,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2016,65.3,86.75
136,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2016,100.0,86.85
137,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,46.0,86.85
138,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2019,9.0,87.5
139,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2019,2.0,87.5
140,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,55.0,87.5
141,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2015,48.0,87.5
142,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,70.0,87.85
143,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,54.0,88.0
144,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2016,167.0,88.0
145,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2016,146.85,88.5
146,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2019,5.0,88.5
147,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,58.0,88.85
148,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2016,84.0,89.0
149,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2019,3.5,89.0
150,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2016,107.0,89.0
151,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2019,6.4,89.5
152,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2018,31.0,89.9
153,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2019,2.0,90.0
154,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,56.0,90.85
